,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
56,Islington-City Centre West,43965.0,19911.0,2712.0,591.0,1580.0,43.645335,-79.5248163,0.2179203539823009,0.5825958702064897,Coffee Shop,Pub,Pizza Place,Tapas Restaurant,Italian Restaurant,Sushi Restaurant,Fast Food Restaurant,Sandwich Place,Music Store,Beer Store,47
57,Junction Area,14366.0,6431.0,5442.0,180.0,376.0,43.6654775,-79.470352,0.03307607497243661,0.06909224549797868,Coffee Shop,Park,Café,Grocery Store,Italian Restaurant,Thai Restaurant,Bar,Mexican Restaurant,Restaurant,Burger Joint,91
58,Keelesdale-Eglinton West,11058.0,4575.0,6467.0,133.0,494.0,43.6901578,-79.4749985,0.020565950208752126,0.07638781506107932,Intersection,Furniture / Home Store,Grocery Store,Discount Store,Sandwich Place,Thrift / Vintage Store,Bakery,Gas Station,Latin American Restaurant,Bar,20
60,Kensington,17945.0,9745.0,11806.0,773.0,441.0,43.6552136,-79.4022604,0.06547518211079112,0.03735388785363374,Café,Bar,Vegetarian / Vegan Restaurant,Taco Place,Mexican Restaurant,Coffee Shop,Farmers Market,Japanese Restaurant,Caribbean Restaurant,Beer Bar,100
61,Kingsview Village,22000.0,8159.0,4356.0,173.0,1281.0,43.6995391,-79.5563459,0.03971533516988063,0.2940771349862259,Bus Line,Coffee Shop,Gas Station,Pharmacy,Beer Store,Chinese Restaurant,Fast Food Restaurant,Bank,Middle Eastern Restaurant,Mobile Phone Shop,23
62,Kingsway South,9271.0,3710.0,3593.0,97.0,159.0,43.6473811,-79.5113328,0.02699693849151127,0.04425271360979683,Coffee Shop,Pub,Fast Food Restaurant,Bank,Italian Restaurant,Pizza Place,Dessert Shop,Sushi Restaurant,Grocery Store,Restaurant,52
63,L'Amoreaux,43993.0,15486.0,6144.0,379.0,1533.0,43.799003,-79.3059669,0.061686197916666664,0.24951171875,Chinese Restaurant,Bank,Pizza Place,Park,Coffee Shop,Electronics Store,Sri Lankan Restaurant,Gas Station,Bus Stop,Tennis Court,24
64,Lambton,7985.0,3217.0,4697.0,61.0,145.0,43.6658675,-79.4992242,0.012987012987012988,0.03087076857568661,Coffee Shop,Park,Convenience Store,Fast Food Restaurant,Sandwich Place,Bakery,Bus Line,Clothing Store,Discount Store,Trail,27
65,Lansing-Westgate,16164.0,6943.0,3038.0,165.0,334.0,43.7589503,-79.4225555,0.054312047399605004,0.10994075049374588,Coffee Shop,Park,Pub,Dog Run,Thai Restaurant,Bar,Fried Chicken Joint,Liquor Store,Grocery Store,Gas Station,21
66,Lawrence Park North,14607.0,5622.0,6407.0,87.0,181.0,43.729199,-79.4032525,0.013578898080224755,0.028250351178398626,Sushi Restaurant,Italian Restaurant,Coffee Shop,Bakery,Fast Food Restaurant,Sandwich Place,Bank,Cosmetics Shop,Pub,Asian Restaurant,54
67,Lawrence Park South,15179.0,6017.0,4685.0,137.0,193.0,43.729199,-79.4032525,0.029242262540021345,0.04119530416221985,Sushi Restaurant,Italian Restaurant,Coffee Shop,Bakery,Fast Food Restaurant,Sandwich Place,Bank,Cosmetics Shop,Pub,Asian Restaurant,54
68,Leaside-Bennington,16828.0,6712.0,3596.0,116.0,253.0,43.7014812,-79.3731559,0.03225806451612903,0.0703559510567297,Bakery,Indian Restaurant,Bank,Ice Cream Shop,Sandwich Place,Wings Joint,Sushi Restaurant,Grocery Store,Pizza Place,Coffee Shop,48
69,Little Portugal,15559.0,8095.0,12859.0,178.0,440.0,43.64741325,-79.43111632546047,0.013842444980169531,0.03421727972626176,Bar,Café,Restaurant,Coffee Shop,Bakery,Cocktail Bar,French Restaurant,Gift Shop,Italian Restaurant,Japanese Restaurant,100
70,Long Branch,10084.0,5145.0,4584.0,132.0,194.0,43.59200455,-79.54536450659592,0.028795811518324606,0.04232111692844677,Park,Bar,Bank,Pharmacy,Grocery Store,Beach,Greek Restaurant,Seafood Restaurant,Coffee Shop,Liquor Store,25
71,Lumsden,7865.0,3604.0,6722.0,55.0,138.0,43.6928281,-79.3157273,0.00818208866408807,0.020529604284439156,Coffee Shop,Park,Café,Bar,Gastropub,Skating Rink,Bank,Thrift / Vintage Store,Thai Restaurant,Beer Store,38
72,Malvern,43794.0,13936.0,4948.0,505.0,2340.0,43.8091955,-79.2217008,0.10206143896523848,0.47291835084882783,Fast Food Restaurant,Park,Grocery Store,Pizza Place,Pharmacy,Bubble Tea Shop,Skating Rink,Supermarket,Sandwich Place,Salon / Barbershop,17
76,Milliken,26572.0,7825.0,2830.0,370.0,757.0,43.8231743,-79.3017626,0.13074204946996468,0.26749116607773854,Chinese Restaurant,Asian Restaurant,Bakery,Vietnamese Restaurant,Tea Room,Pet Store,Vegetarian / Vegan Restaurant,Japanese Restaurant,Bubble Tea Shop,Noodle House,52
77,Mimico,33964.0,20486.0,4915.0,,969.0,43.6166773,-79.4968048,,0.19715157680569684,Bank,Indian Restaurant,Convenience Store,Breakfast Spot,Grocery Store,Ice Cream Shop,Skating Rink,Bar,Thai Restaurant,Beach,27
78,Morningside,17455.0,6044.0,3041.0,233.0,859.0,43.7826012,-79.2049579,0.07661953304833936,0.2824728707661953,Park,Coffee Shop,Convenience Store,Tennis Court,Café,Sandwich Place,Pharmacy,Supermarket,Business Service,Gas Station,16
79,Moss Park,20506.0,12513.0,14753.0,1083.0,729.0,43.6546438,-79.3697278,0.07340879821053345,0.04941367857384939,Coffee Shop,Gastropub,Theater,Café,Restaurant,Italian Restaurant,Farmers Market,Cosmetics Shop,Park,Bakery,100
80,Mount Dennis,13593.0,5386.0,6442.0,146.0,798.0,43.6869597,-79.4895513,0.02266376901583359,0.12387457311393978,Coffee Shop,Intersection,Park,Fast Food Restaurant,Furniture / Home Store,American Restaurant,Grocery Store,Playground,Tennis Court,Gas Station,15
81,Mount Pleasant East,16775.0,7715.0,5411.0,128.0,195.0,43.7084166,-79.3901348,0.023655516540380707,0.036037700979486234,Italian Restaurant,Coffee Shop,Café,Bookstore,Sushi Restaurant,Park,Pizza Place,Supermarket,Dessert Shop,Deli / Bodega,44
82,Mount Pleasant West,29658.0,18495.0,21969.0,294.0,744.0,43.7084166,-79.3901348,0.013382493513587328,0.033865901952751604,Italian Restaurant,Coffee Shop,Café,Bookstore,Sushi Restaurant,Park,Pizza Place,Supermarket,Dessert Shop,Deli / Bodega,44
83,New Toronto,11463.0,5657.0,3342.0,175.0,325.0,43.6007625,-79.505264,0.0523638539796529,0.09724715739078396,Park,Indian Restaurant,Restaurant,Supermarket,Café,Mexican Restaurant,Fast Food Restaurant,Bakery,Coffee Shop,Pharmacy,18
84,Newtonbrook East,16097.0,6470.0,3926.0,166.0,276.0,43.795986,-79.4130896,0.04228222109016811,0.07030056036678553,Coffee Shop,Korean Restaurant,Middle Eastern Restaurant,Sandwich Place,Restaurant,Café,Grocery Store,Pizza Place,Shopping Mall,Supermarket,61
85,Newtonbrook West,23831.0,9416.0,5070.0,308.0,1364.0,43.795986,-79.4130896,0.060749506903353054,0.2690335305719921,Coffee Shop,Korean Restaurant,Middle Eastern Restaurant,Sandwich Place,Restaurant,Café,Grocery Store,Pizza Place,Shopping Mall,Supermarket,61
86,Niagara,31180.0,19660.0,10156.0,493.0,564.0,43.6440753,-79.4086982,0.04854273335959039,0.05553367467506892,Yoga Studio,Coffee Shop,Italian Restaurant,Bakery,Spa,Cocktail Bar,Dessert Shop,Men's Store,Sandwich Place,Café,100
87,North Riverdale,11916.0,5306.0,6770.0,169.0,154.0,43.6654704,-79.3525936,0.02496307237813885,0.02274741506646972,Coffee Shop,Vietnamese Restaurant,Café,Bar,Bakery,Park,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Fish Market,100
88,North St. James Town,18615.0,10109.0,44321.0,,845.0,43.6708625,-79.37279241253721,,0.019065454299316352,Coffee Shop,Restaurant,Japanese Restaurant,Gay Bar,Juice Bar,Café,Pub,Thai Restaurant,Park,Breakfast Spot,100
89,O'Connor-Parkview,18675.0,7713.0,3780.0,251.0,513.0,43.7023902,-79.3160976,0.0664021164021164,0.1357142857142857,Park,Athletics & Sports,Pizza Place,Curling Ice,Gastropub,Flea Market,Pharmacy,Rock Climbing Spot,Construction & Landscaping,Skating Rink,21
91,Oakwood Village,21210.0,9235.0,9511.0,285.0,746.0,43.6827255,-79.4380548,0.029965303332982862,0.07843549574177268,Italian Restaurant,Mexican Restaurant,Sushi Restaurant,Coffee Shop,Restaurant,Bakery,Mediterranean Restaurant,BBQ Joint,Dance Studio,Convenience Store,56
